,X_crs,Y_crs,kronedurch
0,385323.7913548457,5816561.758620043,9.581132075473871
1,385505.3668265439,5816575.341638911,12.80000000000291
2,385507.76682654384,5816606.941638911,12.000000000002728
3,385508.16682654386,5816616.741638911,6.000000000001364
4,385509.3668265439,5816634.14163891,4.800000000001091
5,385510.16682654386,5816649.941638911,10.800000000002456
6,385510.96682654385,5816660.941638911,4.800000000001091
7,385511.3668265439,5816669.14163891,4.800000000001091
8,385511.96682654385,5816677.741638911,4.800000000001091
9,385403.96682654385,5816557.14163891,4.800000000001091
10,385405.4724869212,5816675.860506835,5.586792452831455
11,385398.321543525,5816648.2944690995,18.507547169815535
12,385392.42720390233,5816633.132204949,11.092452830191204
13,385387.5196567325,5816613.549186081,16.039622641513077
14,385378.75927937403,5816584.273714382,12.000000000002705
15,385366.859279374,5816582.8491860805,15.622641509437488
16,385373.5290906948,5816609.598242684,5.041509433963408
17,385375.0253171099,5816617.360506835,10.86226415094587
18,385380.8328642797,5816626.469940797,11.145283018870463
19,385382.8743737136,5816601.505789855,11.849056603776278
20,385380.3706001287,5816592.817110609,12.3622641509462
21,385395.47814729856,5816670.818997402,10.350943396228761
22,385390.3724869212,5816661.96428042,13.209433962267157
23,385330.88192088343,5816578.832204948,7.700000000001739
24,385339.12154352496,5816575.47937476,8.06603773585088
25,385346.79890201555,5816574.045412496,7.350943396228087
26,385354.7913548457,5816571.652959665,6.494339622642978
27,385382.3668265438,5816563.541638911,10.000000000002274
28,385389.5668265438,5816561.541638911,10.000000000002274
29,385397.16682654386,5816559.541638911,8.000000000001819
30,385369.8611661665,5816642.873714383,7.362264150945066
31,385354.4441850344,5816648.190695515,7.6245283018885255
32,385347.7272039023,5816650.732204949,6.890566037737418
33,385340.8951284306,5816653.766167212,8.062264150945229
34,385333.7102227702,5816657.8491860805,8.394339622643411
35,385326.0479586193,5816660.303903062,7.5264150943413375
36,385330.08192088344,5816668.483148345,7.626415094341358
37,385336.75550578913,5816669.088808722,4.800000000001092
38,385357.3555057891,5816664.254846458,9.173584905662466
39,385379.8328642797,5816651.152959665,10.745283018870369
40,385365.4687133363,5816652.292582307,7.777358490567807
41,385336.9517322042,5816559.724657779,9.858490566039977
42,385349.97060012876,5816558.592582307,9.764150943398457
43,385402.659279374,5816609.347299288,11.698113207549829
44,385423.5083359778,5816604.818997402,13.679245283021983
45,385455.7724869212,5816593.498242685,9.811320754719215
46,385455.15927937406,5816582.130318156,10.188679245285332
47,385444.6404114495,5816599.252959666,9.716981132077676
48,385432.47060012876,5816607.885035138,9.29245283019079
49,385420.8668265438,5816627.837865326,14.622641509437283
50,385421.7158831476,5816642.460506835,8.301886792454718
51,385411.1970152231,5816644.0171106085,10.660377358492989
52,385434.12154352496,5816620.762393627,9.575471698115383
53,385482.0932416382,5816667.224657779,13.16037735849355
54,385468.13097748725,5816661.894469099,7.641509433964
55,385496.10267560044,5816582.507676647,7.075471698114813
56,385503.5555057891,5816631.281261552,10.000000000002265
57,385348.64984541177,5816667.366167213,7.2169811320771124
58,385342.23475107213,5816669.818997402,6.273584905661802
59,385330.25361899665,5816646.5171106085,9.669811320756917
60,385320.91399635514,5816676.658620043,9.905660377360743
